p_perm,p_midp,p_boot,sig_perm,sig_midp,sig_boot,n,k_row,k_col,alpha,theta,rep,scenario
0.19356128774245152,0.1361,0.09718056388722256,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.20315936812637472,0.1186,0.15616876624675066,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.5288942211557689,0.2867,0.1251749650069986,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.5170965806838632,0.2808,0.27994401119776047,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
1,0.783,0.9498100379924015,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.1993601279744051,0.1031,0.07258548290341932,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
1,0.7062,0.6024795040991802,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
1,0.5505,0.8972205558888222,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
1,0.5798,0.21395720855828834,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.15876824635072986,0.0793,0.02499500099980004,FALSE,FALSE,TRUE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.16156768646270747,0.0807,0.11137772445510898,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.5152969406118776,0.2793,0.3929214157168566,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
1,0.7825,0.6200759848030394,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.1839632073585283,0.127,0.1731653669266147,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.023795240951809637,0.0118,0.023795240951809637,TRUE,TRUE,TRUE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.06458708258348331,0.0322,0.041391721655668866,FALSE,TRUE,TRUE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.07518496300739852,0.0402,0.02559488102379524,FALSE,TRUE,TRUE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.16036792641471706,0.0801,0.1287742451509698,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.1829634073185363,0.095,0.14997000599880023,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.5246950609878024,0.2858,0.48470305938812236,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
