p_perm,p_midp,p_boot,sig_perm,sig_midp,sig_boot,n1,n2,k,alpha,assoc,rep,scenario
0.04479104179164167,0.026,0.041191761647670466,TRUE,TRUE,TRUE,5,5,3,0.05,2,1,H1 (Power)
0.48170365926814634,0.3126,0.33993201359728054,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
0.08398320335932813,0.0498,0.021595680863827234,FALSE,TRUE,TRUE,5,5,3,0.05,2,1,H1 (Power)
0.23695260947810437,0.1436,0.21695660867826436,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
0.46010797840431916,0.2965,0.40331933613277343,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
1,0.7809,0.9098180363927214,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
0.052189562087582485,0.026,0.007998400319936013,FALSE,TRUE,TRUE,5,5,3,0.05,2,1,H1 (Power)
0.4469106178764247,0.3035,0.4469106178764247,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
0.16696660667866425,0.0834,0.09218156368726255,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
1,0.7018,0.5924815036992601,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
0.08918216356728655,0.0484,0.08238352329534093,FALSE,TRUE,FALSE,5,5,3,0.05,2,1,H1 (Power)
0.008198360327934412,0.004,0.0011997600479904018,TRUE,TRUE,TRUE,5,5,3,0.05,2,1,H1 (Power)
0.16576684663067387,0.0828,0.15216956608678264,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
0.1195760847830434,0.0629,0.09198160367926415,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
0.4443111377724455,0.2221,0.34293141371725655,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
0.7244551089782043,0.4431,0.7086582683463307,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
1,0.5,0.7066586682663467,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
0.08478304339132174,0.0459,0.01739652069586083,FALSE,TRUE,TRUE,5,5,3,0.05,2,1,H1 (Power)
0.14877024595080984,0.0872,0.09138172365526895,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
0.14637072585482905,0.0856,0.1195760847830434,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
0.032993401319736056,0.0164,0.012997400519896021,TRUE,TRUE,TRUE,5,5,3,0.05,2,1,H1 (Power)
0.052789442111577684,0.0263,0.013997200559888023,FALSE,TRUE,TRUE,5,5,3,0.05,2,1,H1 (Power)
0.15436912617476506,0.0771,0.08118376324735053,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
0.14557088582283542,0.0843,0.09718056388722256,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
0.05138972205558888,0.0256,0.023195360927814438,FALSE,TRUE,TRUE,5,5,3,0.05,2,1,H1 (Power)
1,0.7093,0.7520495900819836,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
0.6932613477304539,0.43,0.4839032193561288,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
0.6842631473705258,0.4274,0.40731853629274145,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
0.1401719656068786,0.0815,0.046390721855628876,FALSE,FALSE,TRUE,5,5,3,0.05,2,1,H1 (Power)
0.3955208958208358,0.2379,0.14097180563887224,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
0.28214357128574286,0.164,0.16096780643871225,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
1,0.717,0.8230353929214157,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
1,0.5802,0.8054389122175565,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
0.036192761447710456,0.018,0.005398920215956809,TRUE,TRUE,TRUE,5,5,3,0.05,2,1,H1 (Power)
0.28634273145370925,0.1671,0.14237152569486103,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
0.2715456908618276,0.1357,0.20635872825434912,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
0.02559488102379524,0.0127,0.003799240151969606,TRUE,TRUE,TRUE,5,5,3,0.05,2,1,H1 (Power)
0.6784643071385723,0.4194,0.3783243351329734,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
0.27854429114177165,0.1628,0.2731453709258148,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
0.052389522095580884,0.0261,0.03499300139972006,FALSE,TRUE,TRUE,5,5,3,0.05,2,1,H1 (Power)
0.6826634673065387,0.4289,0.4133173365326935,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
0.08678264347130574,0.0478,0.041991601679664065,FALSE,TRUE,TRUE,5,5,3,0.05,2,1,H1 (Power)
1,0.779,0.6186762647470506,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
0.08558288342331534,0.0469,0.020595880823835233,FALSE,TRUE,TRUE,5,5,3,0.05,2,1,H1 (Power)
0.40671865626874626,0.2262,0.2589482103579284,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
0.08318336332733453,0.0415,0.04319136172765447,FALSE,TRUE,TRUE,5,5,3,0.05,2,1,H1 (Power)
0.17616476704659068,0.0916,0.16076784643071385,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
0.44731053789242153,0.2236,0.2695460907818436,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
0.04539092181563687,0.0226,0.02419516096780644,TRUE,TRUE,TRUE,5,5,3,0.05,2,1,H1 (Power)
0.47810437912417514,0.3134,0.23015396920615877,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
0.08558288342331534,0.0467,0.03099380123975205,FALSE,TRUE,TRUE,5,5,3,0.05,2,1,H1 (Power)
0.017996400719856028,0.0089,3.999200159968006e-4,TRUE,TRUE,TRUE,5,5,3,0.05,2,1,H1 (Power)
0.046790641871625675,0.0233,0.02579484103179364,TRUE,TRUE,TRUE,5,5,3,0.05,2,1,H1 (Power)
0.45450909818036395,0.2272,0.04579084183163367,FALSE,FALSE,TRUE,5,5,3,0.05,2,1,H1 (Power)
0.6868626274745051,0.4246,0.26294741051789644,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
0.04239152169566087,0.0211,0.023195360927814438,TRUE,TRUE,TRUE,5,5,3,0.05,2,1,H1 (Power)
1,0.7182,0.5006998600279944,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
